gender,race,age,ethnicity
Female,White,44,White
Male,Asian,29,Asian
Male,Black,30,Black
Female,White,37,White
Female,White,34,White
Female,White,34,White
Female,Black,37,Black
Female,White,40,White
Male,White,38,White
Male,White,36,White
Female,White,41,White
Male,Other,40,Other
Female,Black,23,Black
Female,White,39,White
Female,Black,40,Black
Female,Black,28,Black
Female,White,44,White
Female,White,22,White
Male,White,26,White
Female,Black,31,Black
Female,White,34,White
Female,White,38,White
Male,Asian,30,Asian
Female,White,31,White
Male,White,28,White
Female,White,41,White
Male,White,23,White
Male,White,23,White
Male,Asian,23,Asian
Male,White,27,White
Female,White,23,White
Female,White,19,White
Female,White,45,White
Male,White,40,White
Female,White,37,White
Male,White,42,White
Female,White,41,White
Male,DATA_EXPIRED,34,DATA_EXPIRED
Female,White,37,White
Female,Black,39,Black
Female,White,32,White
Female,White,40,White
Female,White,39,White
Female,White,23,White
Female,Black,32,Black
Male,White,38,White
Female,White,42,White
Female,White,43,White
Male,White,41,White
Male,White,29,White
Male,Asian,29,Asian
Male,White,31,White
Male,White,45,White
Female,White,29,White
Male,Black,33,Black
Female,White,26,White
Male,Black,28,Black
Female,White,34,White
Male,White,34,White
Female,Black,35,Black
Female,White,37,White
Female,White,31,White
Male,Black,26,Black
Female,White,29,White
Female,White,27,White
Male,Black,38,Black
Female,Black,39,Black
Male,Black,37,Black
Male,White,39,White
Male,White,25,White
Male,White,36,White
Male,White,24,White
Male,Mixed,33,Mixed
Female,Mixed,34,Mixed
Male,White,28,White
Female,White,32,White
Female,White,27,White
Female,White,25,White
Female,White,21,White
Female,White,34,White
Female,White,38,White
Male,White,27,White
Female,Other,25,Other
Male,Mixed,30,Mixed
Female,Black,33,Black
Male,White,31,White
Female,White,38,White
Male,White,22,White
Male,White,41,White
Female,Black,42,Black
Female,Black,28,Black
Female,White,28,White
Female,White,38,White
Male,White,43,White
Male,White,29,White
Male,White,42,White
Female,Black,29,Black
Male,White,27,White
Female,Mixed,31,Mixed
Male,White,40,White
Female,Black,22,Black
Male,White,26,White
Female,White,36,White
Female,White,43,White
Male,White,26,White
Female,White,25,White
Female,White,31,White
Male,White,30,White
Male,Mixed,31,Mixed
Female,White,40,White
Male,White,34,White
Female,White,40,White
Female,White,28,White
Male,White,25,White
Male,White,25,White
Female,White,27,White
Female,Mixed,28,Mixed
Male,Other,42,Other
Female,White,33,White
Female,White,35,White
Male,White,31,White
Male,White,32,White
Male,White,36,White
Female,White,39,White
Male,White,39,White
Male,White,33,White
Male,White,32,White
Female,White,41,White
Female,White,38,White
Female,White,38,White
Male,Other,32,Other
Female,Black,43,Black
Male,White,28,White
Male,Black,21,Black
Female,White,39,White
Male,White,38,White
Male,White,29,White
Female,White,44,White
Female,White,34,White
Female,White,36,White
