Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6908e99d2b6451c9ca3a75cb,66b2be331315bce01546e031,APPROVED,Not Applicable,2025-11-03T17:43:10.243000Z,2025-11-03T19:37:20.616000Z,2025-11-21T18:18:25.441000Z,2025-11-03T19:37:21.042637Z,6851.0,C1GZ5JPY,1566,44,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
6908ea3f40acfc6794f9b7b9,5d4a41890e604c00011ade8b,APPROVED,Not Applicable,2025-11-03T17:45:39.815000Z,2025-11-03T19:55:58.118000Z,2025-11-21T18:18:27.286000Z,2025-11-03T19:56:11.367168Z,7819.0,C1GZ5JPY,11201,29,Male,Asian,United States,United States,United States,English,No,Full-Time
6908ea43d73116aa2a4b794f,678e883a9ac653bfb7ff5f1f,APPROVED,Not Applicable,2025-11-03T17:46:08.842000Z,2025-11-03T19:13:34.997000Z,2025-11-21T18:18:28.732000Z,2025-11-03T19:13:35.421230Z,5247.0,C1GZ5JPY,1966,30,Male,Black,United States,United States,United States,English,No,Full-Time
6908ea60a6f3c0aa74e57992,5f218f86a3a5b05784d9d371,APPROVED,Not Applicable,2025-11-03T17:46:12.229000Z,2025-11-03T18:31:35.955000Z,2025-11-21T18:18:30.205000Z,2025-11-03T18:31:36.335739Z,2724.0,C1GZ5JPY,5577,37,Female,White,United States,United States,United States,English,No,Full-Time
6908eafbe8ea104130ff3441,66e9b926c782e4f47a05ec7c,APPROVED,Not Applicable,2025-11-03T17:48:48.543000Z,2025-11-03T19:48:44.338000Z,2025-11-21T18:18:31.669000Z,2025-11-03T19:48:44.724854Z,7196.0,C1GZ5JPY,903,34,Female,White,United States,United States,United States,English,No,Part-Time
6908eb6f6c7afac22d405ee4,615327ab3d238b032366a545,APPROVED,Not Applicable,2025-11-03T17:53:02.948000Z,2025-11-03T18:52:01.624000Z,2025-11-21T18:18:35.366000Z,2025-11-03T18:52:02.035573Z,3539.0,C1GZ5JPY,2794,34,Female,White,United States,United States,United States,English,No,Part-Time
6908ebad6bb5afa31e2db2c0,5a443812817d1800018d1179,APPROVED,Not Applicable,2025-11-03T17:52:08.729000Z,2025-11-03T18:55:51.400000Z,2025-11-21T18:18:33.131000Z,2025-11-03T18:55:51.788373Z,3823.0,C1GZ5JPY,1988,37,Female,Black,United States,United States,United States,English,No,Full-Time
6908ebeecb38284141e8bec3,684a12ce6791bc422c72abbb,APPROVED,Not Applicable,2025-11-03T17:54:02.004000Z,2025-11-03T19:32:21.122000Z,2025-11-21T18:18:36.882000Z,2025-11-03T19:32:21.539289Z,5900.0,C1GZ5JPY,1417,40,Female,White,United States,United States,United States,English,No,Part-Time
6908ec75515d21176c158aac,672a56a48f56810ca01f305c,APPROVED,Not Applicable,2025-11-03T17:55:46.289000Z,2025-11-03T19:05:18.530000Z,2025-11-21T18:18:38.376000Z,2025-11-03T19:05:18.971024Z,4173.0,C1GZ5JPY,2039,38,Male,White,United States,United States,United States,English,No,Full-Time
6908ec78dedcac658edab0e4,5f2f03deec679e2cf4a992e6,APPROVED,Not Applicable,2025-11-03T17:58:10.836000Z,2025-11-03T19:41:29.261000Z,2025-11-21T18:18:41.394000Z,2025-11-03T19:41:29.640442Z,6199.0,C1GZ5JPY,10880,36,Male,White,United States,United States,United States,English,No,Full-Time
6908ece2c67c257836e17201,5d0f9b5a905351000124f56c,APPROVED,Not Applicable,2025-11-03T17:57:19.508000Z,2025-11-03T18:57:07.726000Z,2025-11-21T18:18:39.846000Z,2025-11-03T18:57:08.108483Z,3589.0,C1GZ5JPY,3535,41,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
6908ed8f21c90c41c7bd1f37,67516c560c6e5099c1f9b277,APPROVED,Not Applicable,2025-11-03T17:59:55.689000Z,2025-11-03T18:50:25.082000Z,2025-11-21T18:18:42.862000Z,2025-11-03T18:50:36.944158Z,3030.0,C1GZ5JPY,605,40,Male,Other,United States,United States,United States,English,No,Full-Time
6908edc9e46c656d33eb5893,6079ff1600ff2b7455e1c3e0,APPROVED,Not Applicable,2025-11-03T18:02:51.045000Z,2025-11-03T19:21:59.869000Z,2025-11-21T18:18:45.983000Z,2025-11-03T19:22:00.262988Z,4749.0,C1GZ5JPY,2174,23,Female,Black,United States,United States,United States,English,No,Other
6908edecbf4143972e135b35,67ac21373a76570ef0a5c0d3,APPROVED,Not Applicable,2025-11-03T18:04:39.127000Z,2025-11-03T19:25:08.600000Z,2025-11-21T18:18:48.003000Z,2025-11-03T19:25:08.974649Z,4830.0,C1GZ5JPY,1717,39,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6908edf521c90c41c7bd1f41,674c85b37ea790fa800e2ef6,APPROVED,Not Applicable,2025-11-03T18:01:33.383000Z,2025-11-03T18:40:37.091000Z,2025-11-21T18:18:44.491000Z,2025-11-03T18:40:37.569309Z,2344.0,NOCODE,532,40,Female,Black,United States,United States,United States,English,Yes,Full-Time
6908ee3bc7554693216f2d53,6166c0eb123b6e8b34628249,APPROVED,Not Applicable,2025-11-03T18:06:47.089000Z,2025-11-03T19:15:36.674000Z,2025-11-21T18:18:49.450000Z,2025-11-03T19:15:37.069580Z,4130.0,C1GZ5JPY,6421,28,Female,Black,United States,United States,United States,English,Yes,Part-Time
6908ef0c5e6a5dfa23cbf148,56caf7b564c068000c4d798a,APPROVED,Not Applicable,2025-11-03T18:07:52.373000Z,2025-11-03T19:14:23.645000Z,2025-11-21T18:18:52.157000Z,2025-11-03T19:14:24.051505Z,3992.0,C1GZ5JPY,3628,44,Female,White,United States,United States,United States,English,No,Full-Time
6908ef919ac24915ce71a697,674a317122c5f8223e47d5f5,APPROVED,Not Applicable,2025-11-03T18:08:21.233000Z,2025-11-03T18:59:43.996000Z,2025-11-21T18:18:53.602000Z,2025-11-03T18:59:56.847404Z,3083.0,C1GZ5JPY,1099,22,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
6908ef99e751ae9e06bc3b4d,5f90a9b6980885196a0d084d,APPROVED,Not Applicable,2025-11-03T18:08:29.783000Z,2025-11-03T18:57:42.773000Z,2025-11-21T18:18:55.064000Z,2025-11-03T18:57:43.192530Z,2953.0,C1GZ5JPY,2748,26,Male,White,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6908f03090d229e439ddcdae,5c40e28ffe87360001a5677e,APPROVED,Not Applicable,2025-11-03T18:10:59.383000Z,2025-11-03T20:01:05.493000Z,2025-11-21T18:18:56.537000Z,2025-11-03T20:01:06.033836Z,6607.0,C1GZ5JPY,3197,31,Female,Black,United States,United States,United States,English,No,Full-Time
6908f102dce755eda58571f8,664b62a91a7b577435face15,APPROVED,Not Applicable,2025-11-03T18:14:41.417000Z,2025-11-03T19:12:23.985000Z,2025-11-21T18:18:58.080000Z,2025-11-03T19:12:24.413662Z,3463.0,C1GZ5JPY,1228,34,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6908f2646c8a33ad2b258593,67140e619a07e922923d2ae0,APPROVED,Not Applicable,2025-11-03T18:20:39.787000Z,2025-11-03T19:20:10.650000Z,2025-11-21T18:18:59.545000Z,2025-11-03T19:20:11.034611Z,3571.0,C1GZ5JPY,755,38,Female,White,United States,United States,United States,English,No,Full-Time
6908f3b9a7ed17efc8b87735,664666f7c83c0f374d9631ab,APPROVED,Not Applicable,2025-11-03T18:26:06.778000Z,2025-11-03T19:19:12.260000Z,2025-11-21T18:19:01.044000Z,2025-11-03T19:19:26.356670Z,3186.0,C1GZ5JPY,1597,30,Male,Asian,United States,United States,United States,English,No,Part-Time
6908f40120b94aeb28a28352,67d83d5fdd68549a4c41a1fd,APPROVED,Not Applicable,2025-11-03T18:27:42.064000Z,2025-11-03T19:54:36.829000Z,2025-11-21T18:19:02.733000Z,2025-11-03T19:54:37.223207Z,5215.0,C1GZ5JPY,1404,31,Female,White,United States,United States,United States,English,Yes,Full-Time
6908f468c5306d9e79f2b0b7,67324fcf484d2ddb46f50e43,APPROVED,Not Applicable,2025-11-03T18:33:52.566000Z,2025-11-03T20:18:45.776000Z,2025-11-21T18:19:05.339000Z,2025-11-03T20:19:00.547442Z,6294.0,C1GZ5JPY,1504,28,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6908f53c7a9ff4c2d3a88513,5589cd58fdf99b18be3203af,APPROVED,Not Applicable,2025-11-03T18:33:11.486000Z,2025-11-03T19:31:44.086000Z,2025-11-21T18:19:03.975000Z,2025-11-03T19:31:44.495064Z,3513.0,C1GZ5JPY,4812,41,Female,White,United States,United States,United States,English,No,Full-Time
6908f5badcf99737bd0c3403,65d6a09286a0c99e632a46dd,APPROVED,Not Applicable,2025-11-03T18:34:37.513000Z,2025-11-03T19:31:38.609000Z,2025-11-21T18:19:17.471000Z,2025-11-03T19:32:08.246015Z,3422.0,C1GZ5JPY,2255,23,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6908f768718108e7c6c9265b,669588e8ad1745596a02a04b,APPROVED,Not Applicable,2025-11-03T18:42:01.854000Z,2025-11-03T19:25:05.968000Z,2025-11-21T18:19:18.954000Z,2025-11-03T19:25:06.474088Z,2585.0,C1GZ5JPY,2885,23,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
6908f9814e0208fcc4b96be4,5eda8f3cf96cc50eea5c251c,APPROVED,Not Applicable,2025-11-03T18:55:41.935000Z,2025-11-03T19:59:19.686000Z,2025-11-21T18:19:22.367000Z,2025-11-03T19:59:20.089101Z,3818.0,C1GZ5JPY,615,23,Male,Asian,United States,United States,United States,English,No,Full-Time
6908f9cce9c508e68f58ef60,667a2a09c4912ebdc9078387,APPROVED,Not Applicable,2025-11-03T18:52:24.867000Z,2025-11-03T20:11:46.326000Z,2025-11-21T18:19:20.266000Z,2025-11-03T20:11:46.730189Z,4762.0,C1GZ5JPY,5065,27,Male,White,United States,United States,United States,English,No,Full-Time
6908f9ecd451691808198254,66a2fd3ddb8757da1068e932,APPROVED,Not Applicable,2025-11-03T18:54:11.152000Z,2025-11-03T19:53:05.073000Z,2025-11-21T18:19:21.339000Z,2025-11-03T19:53:05.447918Z,3534.0,C1GZ5JPY,954,23,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
