Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6903d40938da99996f9df1af,67208cb4db00974fb9050f5a,APPROVED,Not Applicable,2025-10-30T21:09:29.576000Z,2025-10-30T22:06:25.297000Z,2025-10-31T20:35:14.241000Z,2025-10-30T22:06:25.680466Z,3416.0,CFWCW18M,900,40,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6903d505b6e38e8345fda85a,67155947b83a6aee15acbc0d,APPROVED,Not Applicable,2025-10-30T21:15:29.956000Z,2025-10-30T21:45:22.117000Z,2025-10-31T20:35:21.534000Z,2025-10-30T21:45:58.847166Z,1793.0,CFWCW18M,2319,28,Female,White,United States,United States,United States,English,Yes,Full-Time
6903d51a281491d8a17385b8,67e40bab848c22a30914c34c,APPROVED,Not Applicable,2025-10-30T21:14:37.165000Z,2025-10-30T21:28:22.992000Z,2025-10-31T20:35:19.527000Z,2025-10-30T21:28:23.391051Z,826.0,CFWCW18M,1529,25,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6903d7915d151cd5504181b3,6756f8f1b31244c01d888b7e,APPROVED,Not Applicable,2025-10-30T21:24:35.821000Z,2025-10-30T21:38:21.137000Z,2025-10-31T20:35:15.843000Z,2025-10-30T21:38:21.505244Z,826.0,CFWCW18M,541,25,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6903d909baca377666c9fcfc,67648b2d2ca3bdd206096be7,APPROVED,Not Applicable,2025-10-30T21:31:38.270000Z,2025-10-30T21:45:24.154000Z,2025-10-31T20:35:16.543000Z,2025-10-30T21:45:24.558019Z,826.0,CFWCW18M,3671,27,Female,White,United States,United States,United States,English,Yes,Full-Time
6903da876a22c5ef80dc1797,663e415a80a1241697515eb7,APPROVED,Not Applicable,2025-10-30T21:37:16.128000Z,2025-10-30T21:52:45.558000Z,2025-10-31T20:35:23.690000Z,2025-10-30T21:52:45.978729Z,930.0,CFWCW18M,616,28,Female,Mixed,United States,United States,United States,English,No,Other
6903db88f5f637033d777c21,67d9625169884c7fdecaf0a6,APPROVED,Not Applicable,2025-10-30T21:50:54.989000Z,2025-10-30T22:15:51.383000Z,2025-10-31T20:35:25.716000Z,2025-10-30T22:15:51.782117Z,1497.0,CFWCW18M,605,42,Male,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6903dd67ef5adeaacc14e5fd,654f8d6d742fe8b47425f0b1,APPROVED,Not Applicable,2025-10-30T21:49:27.764000Z,2025-10-30T22:06:18.538000Z,2025-10-31T20:35:17.112000Z,2025-10-30T22:06:18.894483Z,1011.0,CFWCW18M,418,33,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
6903ddf9b9ac3a4832eb32c6,5afd043a56fe2c000168f7fe,APPROVED,Not Applicable,2025-10-30T21:53:32.002000Z,2025-10-30T22:05:00.712000Z,2025-10-31T20:35:25.072000Z,2025-10-30T22:05:01.078682Z,689.0,CFWCW18M,3669,35,Female,White,United States,United States,United States,English,No,Full-Time
6903de3f309c83899c1cc29a,67e5839a12163b1c6e7f933c,APPROVED,Not Applicable,2025-10-30T21:53:03.826000Z,2025-10-30T22:35:24.277000Z,2025-10-31T20:35:17.833000Z,2025-10-30T22:35:24.675185Z,2541.0,CFWCW18M,355,31,Male,White,United States,United States,United States,English,Yes,DATA_EXPIRED
6903e8f8c509f082e3f014ce,67e48f46ac070276b3bc9cfa,APPROVED,Not Applicable,2025-10-30T22:39:03.565000Z,2025-10-30T23:10:13.743000Z,2025-10-31T20:35:27.350000Z,2025-10-30T23:10:45.345767Z,1871.0,CFWCW18M,460,32,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6903eab7f2b4056f81c954ab,6462217d7bd09447661ed6a4,APPROVED,Not Applicable,2025-10-30T22:49:45.938000Z,2025-10-30T23:06:50.553000Z,2025-10-31T20:35:26.624000Z,2025-10-30T23:06:50.931679Z,1025.0,CFWCW18M,777,36,Male,White,United States,United States,United States,English,No,Part-Time
6903ed57c9df014cdaf0dae2,67f2fbc77b115d1edb94ef11,APPROVED,Not Applicable,2025-10-30T22:57:27.342000Z,2025-10-30T23:38:41.643000Z,2025-10-31T20:35:29.689000Z,2025-10-30T23:38:42.020300Z,2475.0,CFWCW18M,1087,39,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69040a2b69ecbfde5e6aae6f,67217a2f6476292bf82e2e6d,APPROVED,Not Applicable,2025-10-31T01:00:35.666000Z,2025-10-31T01:30:10.183000Z,2025-10-31T20:35:28.200000Z,2025-10-31T01:30:10.748369Z,1775.0,CFWCW18M,2257,39,Male,White,United States,United States,United States,English,No,Full-Time
69040aab3f9c4be4f3fc9756,66ccdfaee9ee00c604629b06,APPROVED,Not Applicable,2025-10-31T01:03:09.996000Z,2025-10-31T01:15:15.500000Z,2025-10-31T20:35:29.050000Z,2025-10-31T01:15:15.884614Z,726.0,CFWCW18M,899,33,Male,White,United States,United States,United States,English,No,Full-Time
690bb65e3fedb3899b36a4e1,67e1ea05ef54663f593482b2,APPROVED,Not Applicable,2025-11-05T20:41:02.287000Z,2025-11-05T21:05:58.752000Z,2025-11-21T18:17:32.177000Z,2025-11-05T21:05:59.144049Z,1497.0,CFWCW18M,550,32,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
690bb698fe1ec02501b122e0,668a41df847a9640d0ff75f5,APPROVED,Not Applicable,2025-11-05T20:42:23.507000Z,2025-11-05T20:55:03.321000Z,2025-11-21T18:17:34.080000Z,2025-11-05T20:55:12.796677Z,760.0,CFWCW18M,3334,41,Female,White,United States,United States,United States,English,No,Full-Time
690bb6ac6048af066213033b,65e8d383f3c7e1afd7b5c98f,APPROVED,Not Applicable,2025-11-05T20:42:26.225000Z,2025-11-05T20:59:08.032000Z,2025-11-21T18:17:35.645000Z,2025-11-05T20:59:08.447411Z,1002.0,CFWCW18M,1400,38,Female,White,United States,United States,United States,English,No,Full-Time
690bb757933bb2cb429e7574,6100575395cc819a27603c94,APPROVED,Not Applicable,2025-11-05T20:45:16.143000Z,2025-11-05T20:57:26.272000Z,2025-11-21T18:17:37.160000Z,2025-11-05T20:57:26.695363Z,731.0,CFWCW18M,857,38,Female,White,United States,United States,United States,English,No,Full-Time
690bb99f059235badb72ba37,67819f666062825529fe313e,APPROVED,Not Applicable,2025-11-05T20:58:14.679000Z,2025-11-05T21:34:23.151000Z,2025-11-21T18:17:38.791000Z,2025-11-05T21:34:23.553631Z,2169.0,CFWCW18M,2129,32,Male,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
690bbae1cc786c648e969ee2,656106209a18e3a528c2a761,APPROVED,Not Applicable,2025-11-05T21:00:22.139000Z,2025-11-05T21:18:04.734000Z,2025-11-21T18:17:41.677000Z,2025-11-05T21:18:05.107363Z,1063.0,CFWCW18M,1185,43,Female,Black,United States,United States,United States,English,No,Full-Time
690bbc13f40e043f3da50075,5e8bbb3680cbf20986c677e1,APPROVED,Not Applicable,2025-11-05T21:05:27.931000Z,2025-11-05T21:15:22.997000Z,2025-11-21T18:17:43.377000Z,2025-11-05T21:15:23.505055Z,596.0,CFWCW18M,7494,28,Male,White,United States,United States,Italy,English,No,Full-Time
690bbc5f61a19da59ce10011,6712080beba15ccb8cc25e93,APPROVED,Not Applicable,2025-11-05T21:06:58.419000Z,2025-11-05T21:23:47.731000Z,2025-11-21T18:17:44.909000Z,2025-11-05T21:23:48.256742Z,1010.0,CFWCW18M,1027,21,Male,Black,United States,United States,United States,English,Yes,Part-Time
690bbc843469fae8f2eb925c,670feba2e636f738625aa72d,APPROVED,Not Applicable,2025-11-05T21:08:31.835000Z,2025-11-05T21:30:46.688000Z,2025-11-21T18:17:46.413000Z,2025-11-05T21:30:47.066412Z,1335.0,CFWCW18M,1203,39,Female,White,United States,United States,United States,English,No,Part-Time
690bc65c48c96bf4d52e9d30,5a776b5aae9a0b0001a9631d,APPROVED,Not Applicable,2025-11-05T21:51:57.979000Z,2025-11-05T22:06:57.194000Z,2025-11-21T18:17:47.865000Z,2025-11-05T22:06:57.769295Z,900.0,CFWCW18M,3788,38,Male,White,United States,United States,United States,English,No,Full-Time
6903cf537bc003348191f58d,6115736985ae900ca2e8a0a4,RETURNED,Not Applicable,,,,,,,556,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6903d071213852f203c216bf,66303e673635423378ae6ac3,RETURNED,Not Applicable,2025-10-30T20:54:27.397000Z,,,,,,1331,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6903d17619b8f3375687043b,67ca0f025ac00bea9d6fa2ff,RETURNED,Not Applicable,2025-10-30T21:07:35.984000Z,,,,,,85,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6903d3a1c32f0ffa38564b8a,67d41706b93041fcbe3c570b,RETURNED,Not Applicable,,,,,,,974,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6903d6936a1f9a9d4db15943,6717b21c1e82990c9080d9bc,RETURNED,Not Applicable,2025-10-30T21:20:19.655000Z,,,,,,1209,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6903d85c0e5bb850a4876a11,66c36df59f1061046b7ea01b,RETURNED,Not Applicable,2025-10-30T21:28:23.229000Z,,,,,,1756,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6903dd9f458a038af53fcf42,65e10c42110a19db34d6c99f,RETURNED,Not Applicable,2025-10-30T21:50:31.049000Z,,,,,,1305,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6903ddccaa7493a45af07ce6,67e0658ecffaf739c0e39dc6,RETURNED,Not Applicable,2025-10-30T21:51:08.246000Z,,,,,,1443,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6903de14303576d579d97a20,67dda0e71db471d2d21376a9,RETURNED,Not Applicable,2025-10-30T21:52:20.538000Z,,,,,,1499,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6903de1eee082121bd0a4623,67d94f701307ac0887c44909,RETURNED,Not Applicable,2025-10-30T21:58:43.756000Z,,,,,,1427,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6903de613f7740d6bf0fe2bc,66b2c7262f4631f5eea8e729,RETURNED,Not Applicable,2025-10-30T21:53:37.483000Z,,,,,,1034,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6903e75c130f6a436746386a,67a9034388a7629d47fdd89e,RETURNED,Not Applicable,2025-10-30T22:32:02.143000Z,,,,,,1778,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6903eb9bf70f00c8bcc21261,67e406244bfad9999a051c1e,RETURNED,Not Applicable,2025-10-30T22:50:03.485000Z,,,,,,1431,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6903ecfa447c3eedb953e96b,677aefb67112f646f3fc77f6,RETURNED,Not Applicable,2025-10-30T22:56:17.609000Z,,,,,,1342,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6903f73379c679db9801230d,63368a7379eb43fa2105d971,RETURNED,Not Applicable,2025-10-30T23:40:19.343000Z,,,,,,6054,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69040a455b46a677f5d2dee8,614e6f4f00a9e94b123316d3,RETURNED,Not Applicable,,,,,,,6899,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
690bb6666601afa58455d2d8,6722eb89cba8e9d0a66c5512,TIMED-OUT,Not Applicable,2025-11-05T20:41:18.416000Z,,,,6660864.0,,792,36,Female,White,United States,United States,United States,English,Yes,Other
690bb66767221a3a5dc8d17b,682498beb28b43fa10e34496,RETURNED,Not Applicable,2025-11-05T20:42:11.623000Z,,,,,,3402,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
690bb66b09389d7c0469fb1f,67324fcf484d2ddb46f50e43,RETURNED,Not Applicable,2025-11-05T20:44:44.856000Z,,,,,,2427,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
690bb66b9125c7e2ea53d2c4,6723fefd7a09fe9da8f9bd10,RETURNED,Not Applicable,2025-11-05T20:41:48.664000Z,,,,,,3755,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
