group_id,participant_id,response_value,stimuli_presented,stimulus_files_presented,block,item_base,item_type,condition,nonphon_err_type,phon_err_details,answer,second_attempt_used,trial_num_sequential,participant_num
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,4,instruction_clarity,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,1,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,4,error_detection_difficulty,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,2,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,3,trivia_accent_strength,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,3,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,3,transcription_accent_strength,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,4,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,Yes,speaker_identity_check,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,5,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,['English'],native_language,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,6,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,No,household_accent,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,7,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,No,current_accent,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,8,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,2,exposure_spanish_accent,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,9,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,2,exposure_spanish,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,10,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,Yes,same_state_5_year,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,11,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,This doesn't apply to me becuase I answered 'No' previously,same_state_5_year_yes,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,12,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,NA,questionnaire_part3_begin,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,13,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,Female,gender,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,14,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,['White'],race/ethnicity,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,15,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,2- or 4-year college degree,highest_level_edu,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,16,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,No,learnDis,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,17,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,No,attention,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,18,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,No,headInjury,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,19,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,No,neuroImpair,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,20,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,Latin American Accent,trivia_accent_identification,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,21,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,Latin American Accent,transcription_accent_identification,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,22,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,There were times I heard things that didn't make sense but were hard to type out why they didn't make sense.,task_experience,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,23,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,All American,most_frequent_accent,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,24,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,"My mother in law was Filipino, and I worked in an industry where different accents were very common for a long time.",additional_language_experience,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,25,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,North Carolina,origin_state,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,26,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,"Sanford, NC",origin_zipcode,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,27,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,Kansas,current_state,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,28,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,67226,current_zipcode,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,29,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,NA,same_state_5_year_no,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,30,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,34,age,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,31,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,NA,diseaseDetail,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,32,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,"Give an ""There needs to be corrections, but I am unsure what I heard"" option",suggestions_improvement,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,33,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,NA,technical_issues,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,34,1
Group_4,0ca17763e765e4e65a0c2352eb97c89b5556a9decadd55dab22752af4320c557,5,instruction_clarity,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,1,2
Group_4,0ca17763e765e4e65a0c2352eb97c89b5556a9decadd55dab22752af4320c557,2,error_detection_difficulty,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,2,2
Group_4,0ca17763e765e4e65a0c2352eb97c89b5556a9decadd55dab22752af4320c557,4,trivia_accent_strength,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,3,2
Group_4,0ca17763e765e4e65a0c2352eb97c89b5556a9decadd55dab22752af4320c557,4,transcription_accent_strength,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,4,2
Group_4,0ca17763e765e4e65a0c2352eb97c89b5556a9decadd55dab22752af4320c557,Yes,speaker_identity_check,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,5,2
Group_4,0ca17763e765e4e65a0c2352eb97c89b5556a9decadd55dab22752af4320c557,['English'],native_language,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,6,2
Group_4,0ca17763e765e4e65a0c2352eb97c89b5556a9decadd55dab22752af4320c557,No,household_accent,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,7,2
Group_4,0ca17763e765e4e65a0c2352eb97c89b5556a9decadd55dab22752af4320c557,No,current_accent,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,8,2
Group_4,0ca17763e765e4e65a0c2352eb97c89b5556a9decadd55dab22752af4320c557,2,exposure_spanish_accent,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,9,2
Group_4,0ca17763e765e4e65a0c2352eb97c89b5556a9decadd55dab22752af4320c557,2,exposure_spanish,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,10,2
Group_4,0ca17763e765e4e65a0c2352eb97c89b5556a9decadd55dab22752af4320c557,Yes,same_state_5_year,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,11,2
Group_4,0ca17763e765e4e65a0c2352eb97c89b5556a9decadd55dab22752af4320c557,Yes,same_state_5_year_yes,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,12,2
Group_4,0ca17763e765e4e65a0c2352eb97c89b5556a9decadd55dab22752af4320c557,NA,questionnaire_part3_begin,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,13,2
Group_4,0ca17763e765e4e65a0c2352eb97c89b5556a9decadd55dab22752af4320c557,Male,gender,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,14,2
Group_4,0ca17763e765e4e65a0c2352eb97c89b5556a9decadd55dab22752af4320c557,['Black or African American'],race/ethnicity,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,15,2
Group_4,0ca17763e765e4e65a0c2352eb97c89b5556a9decadd55dab22752af4320c557,2- or 4-year college degree,highest_level_edu,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,16,2
Group_4,0ca17763e765e4e65a0c2352eb97c89b5556a9decadd55dab22752af4320c557,No,learnDis,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,17,2
Group_4,0ca17763e765e4e65a0c2352eb97c89b5556a9decadd55dab22752af4320c557,No,attention,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,18,2
Group_4,0ca17763e765e4e65a0c2352eb97c89b5556a9decadd55dab22752af4320c557,No,headInjury,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,19,2
Group_4,0ca17763e765e4e65a0c2352eb97c89b5556a9decadd55dab22752af4320c557,No,neuroImpair,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,20,2
Group_4,0ca17763e765e4e65a0c2352eb97c89b5556a9decadd55dab22752af4320c557,Spanish,trivia_accent_identification,NA,Questionnaire,NA,other_non_err_detection,NA,NA,NA,NA,No,21,2
