group_id,participant_id,response_value,stimuli_presented,stimulus_files_presented,block,item_base,item_type,condition,nonphon_err_type,phon_err_details,answer,second_attempt_used,trial_num_sequential
default,1c06ecbba73988e7ff38a0c41f40584e9c83811b795b884f78b6b18494487300,Male,gender,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,1
default,1c06ecbba73988e7ff38a0c41f40584e9c83811b795b884f78b6b18494487300,['White'],race/ethnicity,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,2
default,1c06ecbba73988e7ff38a0c41f40584e9c83811b795b884f78b6b18494487300,Ph.D.,highest_level_edu,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,3
default,1c06ecbba73988e7ff38a0c41f40584e9c83811b795b884f78b6b18494487300,['English'],native_language,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,4
default,1c06ecbba73988e7ff38a0c41f40584e9c83811b795b884f78b6b18494487300,Yes,same_state_5_year,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,5
default,1c06ecbba73988e7ff38a0c41f40584e9c83811b795b884f78b6b18494487300,Yes,same_state_5_year_yes,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,6
default,1c06ecbba73988e7ff38a0c41f40584e9c83811b795b884f78b6b18494487300,Right,handedness,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,7
default,1c06ecbba73988e7ff38a0c41f40584e9c83811b795b884f78b6b18494487300,No,hearing,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,8
default,1c06ecbba73988e7ff38a0c41f40584e9c83811b795b884f78b6b18494487300,No,vision,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,9
default,1c06ecbba73988e7ff38a0c41f40584e9c83811b795b884f78b6b18494487300,No,langDis,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,10
default,1c06ecbba73988e7ff38a0c41f40584e9c83811b795b884f78b6b18494487300,No,learnDis,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,11
default,1c06ecbba73988e7ff38a0c41f40584e9c83811b795b884f78b6b18494487300,No,attention,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,12
default,1c06ecbba73988e7ff38a0c41f40584e9c83811b795b884f78b6b18494487300,No,headInjury,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,13
default,1c06ecbba73988e7ff38a0c41f40584e9c83811b795b884f78b6b18494487300,No,neuroImpair,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,14
default,1c06ecbba73988e7ff38a0c41f40584e9c83811b795b884f78b6b18494487300,No,household_accent,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,15
default,1c06ecbba73988e7ff38a0c41f40584e9c83811b795b884f78b6b18494487300,No,current_accent,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,16
default,1c06ecbba73988e7ff38a0c41f40584e9c83811b795b884f78b6b18494487300,Sometimes,exposure_spanish,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,17
