group_id,participant_id,response_value,stimuli_presented,stimulus_files_presented,block,item_base,item_type,condition,nonphon_err_type,phon_err_details,answer,second_attempt_used,trial_num_sequential
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,Male,gender,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,1
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,['White'],race/ethnicity,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,2
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,2- or 4-year college degree,highest_level_edu,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,3
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,['English'],native_language,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,4
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,Yes,same_state_5_year,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,5
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,Yes,same_state_5_year_yes,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,6
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,Right,handedness,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,7
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,No,hearing,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,8
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,No,vision,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,9
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,No,langDis,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,10
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,No,learnDis,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,11
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,No,attention,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,12
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,No,headInjury,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,13
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,No,neuroImpair,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,14
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,No,household_accent,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,15
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,No,current_accent,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,16
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,Sometimes,exposure_spanish,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,17
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,Sometimes,exposure_spanish_accent,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,18
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,29,age,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,19
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,Colorado,origin_state,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,20
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,"Salida, CO.",origin_zipcode,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,21
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,California,current_state,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,22
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,93536,current_zipcode,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,23
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,NA,same_state_5_year_no,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,24
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,NA,diseaseDetail,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,25
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,"My mom, American; my best friend, American; my brother, American",most_frequent_accent,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,26
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,I took Spanish in high school,additional_language_experience,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,27
Group_4,d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6,Female,gender,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,1
Group_4,d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6,['White'],race/ethnicity,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,2
Group_4,d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6,Some college,highest_level_edu,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,3
Group_4,d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6,['English'],native_language,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,4
Group_4,d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6,Yes,same_state_5_year,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,5
Group_4,d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6,Yes,same_state_5_year_yes,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,6
Group_4,d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6,Right,handedness,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,7
Group_4,d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6,No,hearing,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,8
Group_4,d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6,No,vision,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,9
Group_4,d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6,Yes,langDis,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,10
Group_4,d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6,No,learnDis,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,11
Group_4,d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6,No,attention,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,12
Group_4,d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6,No,headInjury,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,13
Group_4,d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6,No,neuroImpair,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,14
Group_4,d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6,No,household_accent,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,15
Group_4,d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6,No,current_accent,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,16
Group_4,d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6,Sometimes,exposure_spanish,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,17
Group_4,d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6,Sometimes,exposure_spanish_accent,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,18
Group_4,d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6,44,age,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,19
Group_4,d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6,IL,origin_state,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,20
Group_4,d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6,62226,origin_zipcode,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,21
Group_4,d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6,IL,current_state,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,22
Group_4,d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6,62226,current_zipcode,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,23
Group_4,d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6,NA,same_state_5_year_no,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,24
Group_4,d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6,Speech class in grade school,diseaseDetail,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,25
Group_4,d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6,"my family, american",most_frequent_accent,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,26
Group_4,d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6,NA,additional_language_experience,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,27
Group_1,df4a2712733516b189b6a0ed945a84fa89965762a3eb30231041a5d278d1be9d,Female,gender,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,1
Group_1,df4a2712733516b189b6a0ed945a84fa89965762a3eb30231041a5d278d1be9d,['White'],race/ethnicity,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,2
Group_1,df4a2712733516b189b6a0ed945a84fa89965762a3eb30231041a5d278d1be9d,2- or 4-year college degree,highest_level_edu,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,3
Group_1,df4a2712733516b189b6a0ed945a84fa89965762a3eb30231041a5d278d1be9d,['English'],native_language,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,4
Group_1,df4a2712733516b189b6a0ed945a84fa89965762a3eb30231041a5d278d1be9d,Yes,same_state_5_year,NA,Questionnaire,NA,other_non_trivia,NA,NA,NA,NA,No,5
